date,article_number,quantity
2022-05-09,458,64
2022-06-13,431,128
2022-03-28,108,32
2022-07-25,59,96
2022-06-13,173,64
2022-04-19,216,1
2022-04-20,300,64
2022-06-20,375,32
2022-05-06,380,64
2022-06-27,404,64
2022-06-20,101,16
2022-04-11,116,32
2022-05-16,145,96
2022-05-02,480,1
2022-05-20,438,32
2022-06-07,375,32
2022-05-02,160,32
2022-04-08,86,32
2022-08-15,202,32
2022-05-13,180,96
2022-07-04,242,8
2022-03-28,170,32
2022-03-07,208,16
2022-08-15,89,128
2022-06-07,457,1
2022-05-30,145,16
2022-06-27,59,64
2022-05-16,253,64
2022-06-13,352,16
2022-06-13,433,16
2022-07-11,335,16
2022-05-09,274,16
2022-03-07,432,64
2022-06-13,465,16
2022-05-16,307,16
2022-04-19,62,88
2022-02-21,277,192
2022-06-10,373,32
2022-03-07,421,64
2022-05-30,433,32
2022-05-09,91,64
2022-06-27,62,112
2022-05-20,483,16
2022-07-01,379,32
2022-07-04,287,64
2022-06-10,364,112
2022-05-30,41,12
2022-05-09,40,80
2022-06-10,338,16
2022-05-09,89,64
2022-08-12,355,16
2022-06-10,311,32
2022-03-07,110,48
2022-07-08,350,16
2022-06-27,144,64
2022-06-27,304,16
2022-08-12,111,20
2022-03-24,98,16
2022-06-27,317,16
2022-07-01,48,16
2022-05-02,143,32
2022-05-09,341,32
2022-05-23,462,48
2022-05-09,77,16
2022-04-01,113,32
2022-07-08,181,48
2022-07-01,153,40
2022-04-08,194,32
2022-06-27,188,32
2022-06-13,137,96
2022-05-27,350,16
2022-03-28,421,64
2022-08-01,7,16
2022-04-04,128,2
2022-04-15,342,96
2022-06-10,133,32
2022-05-09,389,16
2022-08-12,343,48
2022-05-16,411,128
2022-06-20,224,96
2022-02-23,311,96
2022-05-13,98,16
2022-07-25,46,32
2022-03-29,108,32
2022-06-20,440,16
2022-07-04,224,64
2022-05-27,378,16
2022-06-27,369,32
2022-06-07,465,16
2022-06-07,310,16
2022-05-30,465,16
2022-06-24,436,60
2022-04-01,269,32
2022-05-27,218,16
2022-06-17,321,100
2022-05-02,74,1
2022-03-07,489,32
2022-07-29,351,20
2022-04-11,470,48
2022-06-13,419,16
2022-07-04,112,30
2022-07-11,363,16
2022-06-07,239,32
2022-03-21,437,128
2022-04-08,186,64
2022-03-21,437,128
2022-05-06,199,48
2022-06-27,279,32
2022-03-07,102,64
2022-07-04,428,64
2022-06-07,64,16
2022-07-04,40,32
2022-04-22,20,64
2022-03-14,33,16
2022-06-20,483,16
2022-07-18,184,16
2022-04-15,66,16
2022-06-27,369,32
2022-05-23,40,16
2022-07-08,448,40
2022-05-09,35,48
2022-07-15,215,20
2022-07-11,41,32
2022-03-21,246,80
2022-05-27,478,8
2022-03-14,79,100
2022-05-06,422,32
2022-06-17,448,59
2022-05-30,346,16
2022-02-28,75,80
2022-06-07,148,16
2022-05-20,322,32
2022-05-06,6,64
2022-03-04,333,80
2022-07-04,307,16
2022-04-22,422,32
2022-07-18,91,48
2022-07-01,401,48
2022-08-12,326,16
2022-05-06,295,48
2022-02-16,409,29
2022-08-01,279,32
2022-08-15,79,16
2022-05-06,235,16
2022-05-30,316,15
2022-05-30,207,32
2022-06-17,6,80
2022-07-11,231,32
2022-05-23,403,64
2022-07-25,61,32
2022-05-30,105,32
2022-06-27,336,32
2022-05-16,177,32
2022-05-09,410,16
2022-04-11,447,48
2022-08-12,474,20
2022-04-25,278,128
2022-07-11,368,16
2022-06-27,219,16
2022-04-15,272,64
2022-02-22,21,48
2022-05-13,295,32
2022-06-10,199,16
2022-04-11,206,32
2022-08-15,126,32
2022-08-15,368,128
2022-07-01,162,32
2022-07-18,447,16
2022-02-24,297,112
2022-03-14,460,32
2022-07-01,443,20
2022-06-10,474,20
2022-04-29,405,32
2022-06-13,188,64
2022-07-01,476,112
2022-07-11,458,32
2022-06-17,350,16
2022-06-24,459,16
2022-08-05,451,20
2022-02-18,145,48
2022-06-20,228,20
2022-06-27,131,16
2022-05-23,141,16
2022-08-12,442,20
2022-06-20,259,32
2022-08-15,14,80
2022-05-16,166,32
2022-07-08,473,20
2022-05-30,476,48
2022-08-15,484,76
2022-07-11,274,16
2022-07-25,345,128
2022-03-03,86,16
2022-04-04,44,16
2022-05-20,98,16
2022-05-16,292,16
2022-07-01,86,32
2022-07-11,231,32
2022-06-10,370,20
2022-04-19,460,16
2022-07-01,329,32
2022-07-18,440,16
2022-06-20,173,48
2022-04-25,411,112
2022-05-27,50,16
2022-06-24,100,32
2022-03-10,98,16
2022-07-22,453,20
2022-06-10,113,16
2022-06-27,260,64
2022-06-13,85,16
2022-05-23,152,16
2022-08-05,486,20
2022-03-28,232,32
2022-03-14,308,32
2022-08-15,224,32
2022-06-20,119,16
2022-07-04,465,16
2022-05-16,30,32
2022-05-06,427,16
2022-07-04,141,16
2022-06-13,89,16
2022-06-10,349,59
2022-03-14,117,32
2022-08-12,223,16
2022-06-24,343,64
2022-05-27,113,32
2022-07-15,467,20
2022-05-30,274,16
2022-07-11,354,32
2022-08-15,352,16
2022-08-01,431,64
2022-08-15,231,32
2022-04-19,185,128
2022-08-12,398,32
2022-06-27,417,64
2022-06-10,351,39
2022-04-11,157,48
2022-05-30,49,128
2022-07-18,336,32
2022-04-22,295,32
2022-07-01,351,20
2022-06-17,398,48
2022-08-05,80,20
2022-07-11,25,16
2022-05-23,51,16
2022-07-29,349,40
2022-04-01,432,128
2022-04-01,409,32
2022-04-25,226,128
2022-02-24,297,80
2022-05-02,345,64
2022-04-22,489,32
2022-04-25,18,128
2022-05-23,475,96
2022-05-06,103,32
2022-05-23,397,32
2022-05-23,492,16
2022-08-01,372,64
2022-07-04,185,48
2022-04-20,313,16
2022-05-20,98,16
2022-07-11,304,16
2022-07-25,137,96
2022-06-13,119,16
2022-05-16,411,32
2022-05-16,404,164
2022-03-07,422,24
2022-08-12,255,16
2022-04-08,357,32
2022-04-11,492,32
2022-07-18,105,32
2022-05-30,259,16
2022-06-17,215,40
2022-05-23,3,16
2022-06-27,61,32
2022-02-18,378,24
2022-06-17,327,99
2022-08-15,487,16
2022-07-29,233,40
2022-03-21,113,64
2022-03-14,331,16
2022-05-30,336,32
2022-06-10,181,16
2022-04-15,158,16
2022-06-07,440,16
2022-07-04,224,32
2022-08-15,411,64
2022-07-18,239,16
2022-06-27,65,64
2022-08-08,279,64
2022-06-24,334,16
2022-02-21,322,16
2022-02-16,403,120
2022-07-04,72,16
2022-07-04,92,16
2022-04-25,393,32
2022-06-03,186,32
2022-03-14,308,32
2022-04-04,87,16
2022-06-13,253,32
2022-08-15,148,16
2022-07-25,193,48
2022-06-10,402,20
2022-04-15,234,32
2022-07-04,310,16
2022-06-20,261,16
2022-04-04,300,32
2022-07-22,161,20
2022-05-02,297,96
2022-06-07,36,16
2022-06-24,69,20
2022-06-20,152,16
2022-05-06,311,32
2022-07-11,470,64
2022-06-03,377,16
2022-07-04,148,16
2022-05-16,165,16
2022-07-18,465,16
2022-07-18,279,32
2022-06-07,106,16
2022-04-08,45,64
2022-04-04,10,8
2022-03-21,168,96
2022-02-28,168,16
2022-06-17,255,28
2022-05-13,139,96
2022-02-21,339,152
2022-06-17,432,16
2022-08-15,331,16
2022-04-08,21,16
2022-07-01,69,40
2022-06-24,432,16
2022-06-10,258,8
2022-07-04,297,96
2022-06-20,185,80
2022-07-04,62,48
2022-06-07,114,16
2022-03-28,361,32
2022-07-01,464,48
2022-04-25,463,96
2022-03-21,246,60
2022-05-16,174,16
2022-05-30,64,16
2022-06-27,49,128
2022-03-14,169,32
2022-04-11,114,32
2022-05-23,91,16
2022-07-18,46,48
2022-04-15,170,64
2022-07-04,287,16
2022-04-04,92,32
2022-05-09,309,64
2022-06-24,134,20
2022-07-25,107,16
2022-08-15,449,8
2022-08-15,324,16
2022-07-11,3,16
2022-05-16,202,32
2022-03-28,77,16
2022-06-03,134,40
2022-03-10,98,16
2022-06-10,436,100
2022-03-28,269,32
2022-07-18,492,16
2022-06-27,330,16
2022-07-18,59,96
2022-06-27,239,64
2022-08-15,184,16
2022-07-01,402,20
2022-05-09,390,32
2022-06-24,98,16
2022-06-20,137,64
2022-04-08,494,16
2022-05-27,175,16
2022-02-28,114,34
2022-05-02,63,32
2022-05-06,350,16
2022-06-17,351,20
2022-03-11,305,32
2022-08-12,385,16
2022-05-30,101,16
2022-06-07,7,16
2022-06-27,127,16
2022-08-12,380,16
2022-07-22,486,20
2022-04-04,41,32
2022-05-09,417,64
2022-07-08,453,20
2022-05-16,112,16
2022-06-24,180,48
2022-05-09,36,16
2022-03-28,279,64
2022-08-15,369,32
2022-08-05,321,40
2022-04-08,45,32
2022-04-25,414,16
2022-03-11,63,64
2022-06-07,137,48
2022-06-20,114,16
2022-06-03,272,16
2022-05-23,290,16
2022-04-29,230,16
2022-07-11,337,32
2022-04-08,247,16
2022-07-04,206,16
2022-05-13,29,64
2022-05-16,119,48
2022-06-20,79,32
2022-03-21,241,32
2022-03-10,350,16
2022-06-27,164,16
2022-07-01,422,32
2022-04-01,149,48
2022-05-13,256,16
2022-06-27,433,32
2022-02-21,364,48
2022-03-28,421,32
2022-08-15,200,13
2022-07-08,395,20
2022-04-25,414,32
2022-05-27,453,20
2022-04-04,308,16
2022-08-12,205,16
2022-05-27,69,40
2022-04-22,314,32
2022-08-15,372,32
2022-03-07,205,32
2022-06-03,291,16
2022-05-09,335,32
2022-05-16,164,32
2022-05-30,9,8
2022-05-09,157,32
2022-03-21,267,16
2022-06-17,9,16
2022-05-27,416,24
2022-06-07,206,16
2022-07-01,130,32
2022-05-30,410,16
2022-06-07,431,96
2022-03-21,180,64
2022-07-01,378,32
2022-07-08,305,16
2022-05-16,389,16
2022-06-24,113,16
2022-03-25,213,32
2022-05-27,252,48
2022-04-22,186,96
2022-06-27,287,32
2022-04-29,353,16
2022-06-27,260,32
2022-07-18,470,16
2022-05-09,61,48
2022-04-04,279,96
2022-04-08,323,16
2022-03-31,98,16
2022-06-24,21,16
2022-07-11,477,32
2022-07-25,61,32
2022-07-01,476,128
2022-06-20,389,16
2022-04-29,329,64
2022-06-27,59,64
2022-06-07,59,64
2022-05-16,3,32
2022-03-21,459,64
2022-03-21,246,96
2022-04-15,483,16
2022-05-27,162,15
2022-03-18,191,16
2022-06-27,137,96
2022-06-17,247,16
2022-04-19,259,40
2022-03-28,116,16
2022-07-04,315,45
2022-07-11,1,63
2022-03-02,35,80
2022-07-29,153,20
2022-07-08,409,32
2022-07-04,131,16
2022-07-29,69,40
2022-06-24,438,32
2022-08-12,339,32
2022-08-05,327,20
2022-07-08,337,16
2022-06-20,59,64
2022-06-10,268,32
2022-05-30,25,16
2022-03-28,277,64
2022-04-25,49,144
2022-07-11,358,32
2022-05-13,149,32
2022-07-22,448,60
2022-02-18,270,26
2022-03-07,117,32
2022-08-01,391,48
2022-03-03,455,32
2022-04-08,45,64
2022-06-20,430,16
2022-05-02,449,1
2022-04-19,388,32
2022-04-20,193,64
2022-06-17,378,16
2022-07-22,55,40
2022-06-17,86,16
2022-05-27,350,16
2022-06-24,29,32
2022-06-07,348,32
2022-04-15,377,16
2022-03-28,400,32
2022-07-08,6,64
2022-06-03,99,60
2022-03-14,228,176
2022-06-10,407,20
2022-07-25,188,128
2022-07-15,402,20
2022-07-04,481,48
2022-03-07,87,16
2022-05-13,98,16
2022-05-02,297,48
2022-03-14,428,96
2022-04-22,133,32
2022-05-16,260,160
2022-04-11,119,64
2022-03-28,77,16
2022-07-18,331,32
2022-08-15,226,32
2022-07-25,207,16
2022-03-28,416,8
2022-05-06,62,64
2022-07-22,233,60
2022-05-23,114,16
2022-06-10,111,40
2022-07-08,350,16
2022-06-20,408,16
2022-03-28,277,32
2022-06-13,330,16
2022-07-11,389,16
2022-08-15,410,15
2022-07-01,187,14
2022-05-16,131,96
2022-08-05,153,20
2022-05-09,219,16
2022-07-01,420,32
2022-05-09,362,8
2022-07-11,145,48
2022-06-17,442,20
2022-05-23,221,136
2022-06-13,227,16
2022-07-18,141,16
2022-07-18,239,16
2022-06-27,368,16
2022-06-24,52,16
2022-04-08,272,64
2022-07-01,191,16
2022-04-15,339,64
2022-05-30,430,16
2022-03-28,483,16
2022-04-08,198,32
2022-06-17,170,9
2022-03-28,104,32
2022-06-13,143,16
2022-07-01,98,16
2022-03-28,431,128
2022-08-15,440,48
2022-05-16,64,32
2022-05-27,235,16
2022-06-24,73,20
2022-05-16,105,112
2022-05-13,247,16
2022-06-20,492,16
2022-06-27,396,27
2022-05-30,482,16
2022-08-01,391,32
2022-05-06,489,32
2022-07-01,55,20
2022-06-27,372,64
2022-05-30,222,16
2022-07-08,134,20
2022-03-14,117,16
2022-05-02,330,16
2022-06-13,177,16
2022-03-04,437,294
2022-02-28,158,16
2022-05-27,318,20
2022-04-22,6,64
2022-07-08,464,48
2022-03-28,61,32
2022-05-23,156,16
2022-05-23,437,96
2022-04-11,440,96
2022-06-20,230,16
2022-04-01,223,32
2022-06-24,245,16
2022-05-06,405,32
2022-08-15,310,16
2022-07-04,274,16
2022-08-15,49,64
2022-03-28,333,80
2022-06-10,343,112
2022-05-09,101,16
2022-08-15,354,16
2022-06-27,299,16
2022-07-11,231,32
2022-08-15,224,16
2022-02-25,404,16
2022-05-30,360,16
2022-08-12,252,32
2022-06-24,256,16
2022-05-27,350,16
2022-03-21,246,64
2022-06-20,253,16
2022-07-04,265,80
2022-08-05,467,20
2022-03-01,458,14
2022-04-04,388,32
2022-06-13,415,16
2022-07-08,432,32
2022-07-11,440,16
2022-05-23,490,16
2022-06-17,453,20
2022-08-01,143,32
2022-03-28,255,32
2022-07-22,473,20
2022-06-10,478,32
2022-07-01,205,16
2022-07-08,45,32
2022-06-20,240,16
2022-03-14,180,96
2022-02-25,336,96
2022-05-30,310,16
2022-03-24,350,16
2022-08-12,436,60
2022-06-07,141,16
2022-03-29,61,64
2022-04-29,255,32
2022-07-29,161,20
2022-07-25,260,64
2022-06-27,24,32
2022-06-27,390,16
2022-03-07,421,64
2022-05-23,458,64
2022-08-08,375,64
2022-05-09,25,16
2022-04-08,198,64
2022-06-24,98,16
2022-05-30,141,16
2022-06-20,131,16
2022-07-04,178,8
2022-07-25,172,32
2022-03-28,133,32
2022-05-06,377,32
2022-06-13,375,32
2022-04-04,229,1
2022-03-25,228,128
2022-05-09,116,16
2022-06-13,287,32
2022-06-03,473,20
2022-03-14,437,128
2022-05-16,415,32
2022-06-13,64,16
2022-07-01,343,16
2022-05-02,244,1
2022-06-24,68,32
2022-06-03,161,20
2022-07-01,255,32
2022-06-07,259,16
2022-07-08,322,48
2022-06-17,326,16
2022-06-27,375,64
2022-06-10,254,20
2022-06-24,409,16
2022-07-08,401,32
2022-07-25,61,32
2022-07-29,321,80
2022-06-03,287,32
2022-06-13,316,32
2022-06-17,435,32
2022-03-21,432,128
2022-06-17,69,40
2022-06-13,289,15
2022-06-27,369,32
2022-05-09,431,96
2022-06-13,79,96
2022-04-01,377,64
2022-06-13,83,16
2022-05-09,164,16
2022-03-09,428,96
2022-06-03,432,16
2022-06-27,143,16
2022-06-17,362,32
2022-04-08,298,32
2022-07-08,350,16
2022-04-19,39,16
2022-06-13,202,16
2022-08-12,134,20
2022-07-18,59,64
2022-08-15,396,80
2022-03-14,297,32
2022-07-15,69,40
2022-04-25,382,32
2022-07-18,219,16
2022-06-20,92,16
2022-03-28,438,32
2022-05-02,302,1
2022-05-30,262,16
2022-08-08,287,32
2022-06-17,186,64
2022-06-27,405,80
2022-05-16,237,80
2022-04-29,232,16
2022-04-08,198,64
2022-06-27,173,80
2022-06-17,402,20
2022-07-29,34,40
2022-07-04,302,8
2022-06-24,347,16
2022-03-28,421,96
2022-06-24,272,64
2022-06-07,279,64
2022-03-17,421,64
2022-06-17,68,16
2022-05-09,270,48
2022-06-10,272,48
2022-08-15,375,48
2022-06-20,72,16
2022-03-14,447,64
2022-02-28,66,32
2022-05-06,429,48
2022-06-24,170,32
2022-05-09,379,8
2022-03-21,49,192
2022-08-12,347,16
2022-02-23,103,32
2022-04-04,405,8
2022-05-06,438,32
2022-06-10,73,20
2022-03-07,143,16
2022-05-30,81,16
2022-08-15,463,48
2022-03-11,126,32
2022-05-30,335,16
2022-08-15,300,32
2022-08-15,188,32
2022-07-04,182,48
2022-07-25,137,128
2022-06-10,180,16
2022-06-10,235,16
2022-07-04,230,16
2022-06-27,239,48
2022-06-20,177,16
2022-04-04,415,16
2022-08-12,328,16
2022-03-21,437,64
2022-06-07,447,16
2022-08-01,324,32
2022-04-19,344,1
2022-06-20,165,16
2022-05-20,199,32
2022-04-19,312,1
2022-04-15,386,16
2022-07-04,257,8
2022-06-03,442,20
2022-08-01,37,20
2022-06-27,431,96
2022-04-29,68,32
2022-05-16,116,16
2022-04-19,161,2
2022-07-01,214,32
2022-06-13,397,16
2022-08-01,431,48
2022-06-27,361,16
2022-03-21,300,32
2022-04-01,199,64
2022-04-22,129,32
2022-03-07,427,32
2022-06-03,29,16
