article_number,article_description,revenue
453,paris c7+ l49 001 r7h hmb (m),559
11,medeo t10 h55 822 s10 hmb usa,1028
90,avignon c380 l61 505 se hmb belt (m),1581
216,arroyo 1.2 c5 l46 822 r5s hmb elite belt,1101
99,paris c7+ l46 001 h7 hmb (m),562
325,avignon c380 l46 899 se hmb belt (m),1027
414,grenoble c5  h53 822 s5 hmb belt,700
342,ultimate c8+ l53 322 s8 hmb belt con.hub,1163
239,grenoble c8 h57 001 s8 hmb (m),819
360,marco polo t8  l57 874 s8 (m) urban,886
413,heavydutynl c5 h64 690 h5 hmb belt,675
420,orange c8 h57 001 h8 (m) hmb,708
403,orange c7+ l49 822 h7 hmb,1286
226,tour populair  d57 001     r7t,1220
248,paris c7 h53 813 h7 hmb (m),875
145,chamonix c7  hms  l57 822 s7,820
69,paris c7+ l49 001 h7 hmb (m),874
229,esprit h59 867 s7 belt (m),1316
424,paris c7+ l61 001 h7 hmb (m),669
54,avignon c380 l57 505 se hmb belt usa (m),1457
374,medeo t9 l55 824 s9 hmb usa,758
116,chamonix c7  hms  l49 822 s7,948
316,orange c7+ l61 822 h7 hmb,1053
279,grenoble c8 l57 851 s8 hmb,832
126,grenoble  c7+ l61 480 h7 hmb (m),940
348,arroyo c5 h61 822 r5s hmb elite belt,1426
65,grenoble  c7+  l49 886 h7 hmb,338
208,ultimate t10+ h57 375 s10 hmb usa,985
223,orange c7+ l49 887 h7 hmb,1294
317,arroyo c7+ h61 480 r7h hmb elite (m),1163
328,miss grace c7+ l59 896 r7h hmb,1099
77,grenoble c8 h57 001 s8 hmb (m) connect,1126
197,heavydutynl c5 l49 690 h5 hmb belt,639
80,paris c7+ l46 001 r7h hmb (m),782
276,ultimate 2.0 t11+ h55 886 s11 hmb usa,1060
111,paris c7 l49 813 r7h hmb (m),1542
418,avignon c380 l57 899 se hmb belt usa (m),993
94,orange c7+ h53 822 h7 hmb,1251
445,bloom c380 l53 001 se hms (m),1165
164,medeo t10+ h50 871 s10 hmb usa,693
456,ultimate c8+ l57 375 s8 hmb belt connect,1228
416,avignon c8 l53 896 s8 hmb (m),878
122,orange c8 h53 001 h8 (m) hmb,1168
73,paris c7+ l61 001 r7h hmb (m),903
114,chamonix c5 hms h65 883 s5 (m),1024
361,grenoble c8 l61 851 s8 hmb,1053
2,ultimate 2.0 c380+ h45 375 se hmb usa,1647
217,arroyo 1.2 c5 h57 822 r5s hmb elite belt,1041
234,arroyo c7+ l53 480 r7h hmb (m),847
265,ultimate t10+ m46 851 s10 hmb usa,1177
39,bloom c380 l53 887 se hms,644
138,heavydutynl c7 h64 001 h7 hmb (m),1073
433,arroyo c8  l57 851 r8s hmb elite,650
30,medeo t9 h55 822 s9 hmb usa,837
26,esprit l46 884 s7 hms (m),817
9,avignon c8 l46 883 s8 hmb (m),1149
259,avignon c380 l61 505 se hmb belt ltd (m),467
212,ultimate c8+ l53 621 s8 hmb belt (m),1241
454,heavydutynl c7+ h64 851 h7 hmb (m),575
231,ami c7 l44 883 h7  hms,637
38,orange c8 l49 690 h8 hmb connect,1109
144,arroyo c5 h57 822 r5s hmb elite belt,738
162,orange c8 l57 001 h8 (m) hmb,1264
293,bloom c380 l57 001 se hms (m),773
262,ultimate c380  m49 468 se m hmb sp.belt,772
370,paris c7+ h65 001 h7 hmb (m),776
42,ultimate 1.5 t10 l61 818 s10 hmb (m),1179
315,arroyo c7+ h65 001 r7h hmb (m),1125
470,chamonix c5 hms h57 883 s5 (m),690
236,grenoble 1.2 c5 l61 690 s5 hmb belt,1175
238,bloom c380 l61 001 se hms (m),1400
200,medeo t10  m45 322 s10 hmb,1396
440,chamonix c5 hms l57 883 s5 (m),955
339,miss grace c7 l54 001 h7 hmb (m),1414
28,paris c7+ h65 001 r7h hmb (m),1217
384,paris c7+ l57 001 r7h hmb (m),809
252,avignon c8 l57 896 s8 hmb (m),1261
284,orange c7+ l46 472 h7 hmb (m),1138
245,ultimate c8+ h57 621 s8 hmb belt con (m),811
214,avignon c8 l49 883 s8 hmb connect (m),752
47,arroyo c7+ l46 480 r7h hmb elite (m),1198
198,ultimate c8+ h57 621 s8 hmb belt (m),1356
406,tour populair  h61 001     r7t,808
136,chamonix t10 hms l61 874 s10,872
163,orange c8 h65 001 h8 (m) hmb,620
92,grenoble c8 l57 851 s8 hmb connect,1096
100,ultimate c8+ l49 621 s8 hmb belt (m),961
303,bloom c7  l57 887 s7  hms,1198
